Landscape,Site,Date,Transect,Survey.Method,Habitat.Type,Day.Night,Plot.ID,Observer,Time,Scientific.Name,Taxon.Rank,Speciment.ID,Family,Group1,Group2,SVL,TaL,Hor,Ver,Substrate,Activity,Photo.ID,Note
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:05,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,3.4,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:11,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,,,1,2,Daun,Lompat,,Tidak tertangkap
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:16,Xenochrophis trianguligerus,Spesies,-,Colubridae,Reptiles,Snakes,,,0,0,Batu,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:17,Rhacophorus pardalis,Spesies,-,Rhacophoridae,Amphibians,Frogs,4.4,,2,2.5,Ranting,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:21,Polypedates macrotis,Spesies,-,Rhacophoridae,Amphibians,Frogs,,,1,2,Ranting,Lompat,,Tidak tertangkap
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:21,Boiga drapiezii,Spesies,-,Colubridae,Reptiles,Snakes,,,4,3,Ranting,Diam,,Ditemukan pada tebing
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:23,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,3.3,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:39,Ptyas fusca,Spesies,-,Colubridae,Reptiles,Snakes,,,6,2,Ranting,Diam,,Ditemukan saat perpindahan jalur akuatik yang dipotong oleh air terjun pertama
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:45,Staurois guttatus,Spesies,-,Ranidae,Amphibians,Frogs,3.7,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:16,Gonocephalus grandis,Spesies,-,Agamidae,Reptiles,Saurias,,,0,3,Ranting,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",21:33,Leptolalax cf dringi,Spesies,-,Megophryidae,Amphibians,Frogs,,,7,0,Serasah,Diam,,Ditemukan oleh Jarian
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:07,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,,,1,1,Daun,Lompat,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:10,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,,,0,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:14,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,,,0,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:15,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,,,0,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:18,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,,,0,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:19,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,,,0,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:19,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:20,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,,,1,0,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:20,Chalcorana raniceps,Spesies,-,Ranidae,Amphibians,Frogs,,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:21,Xenochrophis trianguligerus,Spesies,-,Colubridae,Reptiles,Snakes,,,0,0.5,Ranting,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:29,Pulchrana baramica,Spesies,-,Ranidae,Amphibians,Frogs,4.5,,1,0,Akar,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:31,Pulchrana baramica,Spesies,-,Ranidae,Amphibians,Frogs,4.3,,2,0,Serasah,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:32,Pulchrana baramica,Spesies,-,Ranidae,Amphibians,Frogs,,,1,1,Serasah,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:46,Staurois guttatus,Spesies,-,Ranidae,Amphibians,Frogs,,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:46,Staurois guttatus,Spesies,-,Ranidae,Amphibians,Frogs,,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:50,Staurois guttatus,Spesies,-,Ranidae,Amphibians,Frogs,,,2,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:54,Staurois guttatus,Spesies,-,Ranidae,Amphibians,Frogs,,,1,1,Daun,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",21:33,Gonocephalus liogaster,Spesies,-,Agamidae,Reptiles,Saurias,,,4,2,Ranting,Tidur,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",20:56,Tropidophorus brookei,Spesies,-,Scincidae,Reptiles,Saurias,7.42,4.9,0,0,Batu,Diam,,
Kalimantan Barat,Gunung Raya,30-Aug-23,GR-BP,VES,Aquatic,Night,-,"RM, SEP, ABD",19:12,Tropidophorus brookei,Spesies,-,Scincidae,Reptiles,Saurias,,,0,0.5,Kayu tumbang,Diam,,
